CNTY_NAME,OBJECTID_12,CNTY_NUM,Tests2015,Test2016,Test2017,Test2018,Test2019,TestTotal,Pos2015,Pos2016,Pos2017,Pos2018,Pos2019,PosTotal,SHAPE_Length,SHAPE_Area
CLINTON,3660,57,266.0,910.0,866,417,261,2720,2.0,2.0,0.0,1.0,0.0,5,1.227567782380548,0.0306933752707695
DICKINSON,1149,22,0.0,33.0,84,156,162,435,0.0,0.0,0.0,1.0,0.0,1,0.419460112375709,0.0106809271057922
EATON,1120,23,7.0,10.0,8,41,50,116,0.0,0.0,0.0,1.0,0.0,1,0.41299640669367,0.0104164079945584
GRATIOT,3013,87,3.0,4.0,17,258,288,570,0.0,0.0,0.0,1.0,3.0,4,1.225052075796859,0.030586121653353997
INGHAM,918,33,724.0,648.0,580,382,131,2465,3.0,2.0,0.0,0.0,0.0,5,0.413927558036489,0.0104413890251824
IONIA,3620,136,6.0,68.0,164,588,280,1106,0.0,0.0,0.0,2.0,2.0,4,1.6479139322548249,0.0413537302789354
JACKSON,3288,152,3.0,1.0,10,465,678,1157,0.0,0.0,0.0,2.0,7.0,9,1.625290082802268,0.0404573299696668
KENT,3774,205,0.0,4.0,381,551,353,1289,0.0,0.0,10.0,9.0,17.0,36,2.078986332505729,0.052808000929596394
MONTCALM,6105,826,7.0,30.0,3283,2782,1411,7513,0.0,0.0,35.0,45.0,36.0,116,5.7731304956352965,0.1450739566999748
